order,assetId,displayName,family,wave,priority,renderProfile,generationLane,footprint,animationProfile,eraProfile,variantProfile,status,cleanupTier,tags,visualBrief
1,sacred_way_kit,Sacred Way Kit,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,tile_kit,ambient_fx_only,"archaic,classical,hellenistic,romanized","straight,curve,t_junction,cross,festival",planned,manual_cleanup_required,"precinct,building,oracle","processional road pieces with votive markers, braziers, low stone borders, and ceremonial paving"
2,gatehouse_entrance,Gatehouse Entrance,building,core_slice,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","main precinct gate with marble posts, bronze trim, and a welcoming pilgrim threshold"
3,castalian_spring,Castalian Spring,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",sacred spring basin carved into limestone with shimmering water and ritual steps
4,purification_font,Purification Font,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,1x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",small ritual basin and fountain where priests and pilgrims cleanse before rites
5,eternal_flame_brazier,Eternal Flame Brazier,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,1x1,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",bronze ceremonial brazier on a stone plinth with sacred perpetual flame housing
6,sacrificial_altar,Sacrificial Altar,building,precinct_expansion,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","stone altar with drainage channels, offering table, and ritual implements"
7,inner_sanctum,Inner Sanctum,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","sheltered sacred chamber with omphalos plinth, vapor vents, and austere marble steps"
8,omphalos_stone,Omphalos Stone,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,1x1,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","prestige monument stone wrapped in fillets and offerings, set on a sacred plinth"
9,temple_of_apollo,Temple of Apollo,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,3x3,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","grand marble temple with gilded pediment, laurel motifs, and sun-washed colonnade"
10,temple_of_athena,Temple of Athena,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x3,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","scholarly temple with stately columns, carved owl motifs, and scroll alcoves"
